'Ndrangheta 'Ndrangheta NPFSO00
avorriu avorrir VMIP2P00
avorriu avorrir VMM02P00
avorriu avorrir VMSP2P00
avorrívol avorrívol AQ0MS0
avorrívola avorrívol AQ0FS0
avorrívoles avorrívol AQ0FP0
avorrívols avorrívol AQ0MP0
avorta avortar VMIP3S00
avorta avortar VMM02S00
avortà avortar VMIS3S00
avortada avortar VMP00SF0
avortades avortar VMP00PF0
avortament avortament NCMS000
avortaments avortament NCMP000
avortant avortar VMG00000
avortar avortar VMN00000
avortarà avortar VMIF3S00
avortaran avortar VMIF3P00
avortaràs avortar VMIF2S00
avortaré avortar VMIF1S00
avortarem avortar VMIF1P00
avortàrem avortar VMIS1P00
avortaren avortar VMIS3P00
avortares avortar VMIS2S00
avortareu avortar VMIF2P00
avortàreu avortar VMIS2P00
avortaria avortar VMCC1S00
avortaríem avortar VMCC1P00
avortarien avortar VMCC3P00
avortaries avortar VMCC2S00
avortaríeu avortar VMCC2P00
avortat avortar VMP00SM0
avortats avortar VMP00PM0
avortava avortar VMII1S00
avortàvem avortar VMII1P00
avortaven avortar VMII3P00
avortaves avortar VMII2S00
avortàveu avortar VMII2P00
avortem avortar VMIP1P00
avortem avortar VMM01P00
avortem avortar VMSP1P00
avorten avortar VMIP3P00
avortes avortar VMIP2S00
avorteu avortar VMIP2P00
avorteu avortar VMSP2P00
avortí avortar VMIS1S00
avortí avortí NCMS000
avortins avortí NCMP000
avortista avortista AQ0CS0
avortista avortista NCCS000
avortistes avortista AQ0CP0
avortistes avortista NCCP000
avortó avortó NCMS000
avortons avortó NCMP000
avui avui ZRG
avulsió avulsió NCFS000
avulsions avulsió NCFP000
avulsiu avulsiu AQ0MS0
avulsius avulsiu AQ0MP0
avulsiva avulsiu AQ0FS0
avulsives avulsiu AQ0FP0
avuncular avuncular AQ0CS0
avunculars avuncular AQ0CP0
avunculat avunculat NCMS000
avunculats avunculat NCMP000
avunculocal avunculocal AQ0CS0
avunculocals avunculocal AQ0CP0
axènic axènic AQ0MS0
axènica axènic AQ0FS0
axènics axènic AQ0MP0
axèniques axènic AQ0FP0
axeroftol axeroftol NCMS000
axial axial AQ0CS0
axials axial AQ0CP0
axiforme axiforme AQ0CS0
axiformes axiforme AQ0CP0
axil·la axil·la NCFS000
axil·lar axil·lar AQ0CS0
axil·lars axil·lar AQ0CP0
axil·les axil·la NCFP000
axinita axinita NCFS000
axinites axinita NCFP000
axiologia axiologia NCFS000
axiològic axiològic AQ0MS0
axiològica axiològic AQ0FS0
axiològics axiològic AQ0MP0
axiologies axiologia NCFP000
axiològiques axiològic AQ0FP0
axioma axioma NCMS000
axiomàtic axiomàtic AQ0MS0
axiomàtica axiomàtic AQ0FS0
axiomàtica axiomàtica NCFS000
axiomàticament axiomàticament ZRG
axiomàtics axiomàtic AQ0MP0
axiomàtiques axiomàtic AQ0FP0
axiomàtiques axiomàtica NCFP000
axiomatitza axiomatitzar VMIP3S00
axiomatitza axiomatitzar VMM02S00
axiomatitzà axiomatitzar VMIS3S00
axiomatització axiomatització NCFS000
axiomatitzacions axiomatització NCFP000
axiomatitzada axiomatitzar VMP00SF0
axiomatitzades axiomatitzar VMP00PF0
axiomatitzant axiomatitzar VMG00000
axiomatitzar axiomatitzar VMN00000
axiomatitzarà axiomatitzar VMIF3S00
axiomatitzaran axiomatitzar VMIF3P00
axiomatitzaràs axiomatitzar VMIF2S00
axiomatitzaré axiomatitzar VMIF1S00
axiomatitzarem axiomatitzar VMIF1P00
axiomatitzàrem axiomatitzar VMIS1P00
axiomatitzaren axiomatitzar VMIS3P00
axiomatitzares axiomatitzar VMIS2S00
axiomatitzareu axiomatitzar VMIF2P00
axiomatitzàreu axiomatitzar VMIS2P00
axiomatitzaria axiomatitzar VMCC1S00
axiomatitzaríem axiomatitzar VMCC1P00
axiomatitzarien axiomatitzar VMCC3P00
axiomatitzaries axiomatitzar VMCC2S00
axiomatitzaríeu axiomatitzar VMCC2P00
axiomatitzat axiomatitzar VMP00SM0
axiomatitzats axiomatitzar VMP00PM0
axiomatitzava axiomatitzar VMII1S00
axiomatitzàvem axiomatitzar VMII1P00
axiomatitzaven axiomatitzar VMII3P00
axiomatitzaves axiomatitzar VMII2S00
axiomatitzàveu axiomatitzar VMII2P00
axiomatitzem axiomatitzar VMIP1P00
axiomatitzem axiomatitzar VMM01P00
axiomatitzem axiomatitzar VMSP1P00
axiomatitzen axiomatitzar VMIP3P00
axiomatitzes axiomatitzar VMIP2S00
axiomatitzeu axiomatitzar VMIP2P00
axiomatitzeu axiomatitzar VMSP2P00
axiomatitzí axiomatitzar VMIS1S00
axiomes axioma NCMP000
axiòmetre axiòmetre NCMS000
axiòmetres axiòmetre NCMP000
axis axis NCMN000
axisimètric axisimètric AQ0MS0
axisimètrica axisimètric AQ0FS0
axisimètrics axisimètric AQ0MP0
axisimètriques axisimètric AQ0FP0
axó axó NCMS000
axoide axoide AQ0CS0
axoides axoide AQ0CP0
axolot axolot NCMS000
axolots axolot NCMP000
àxon àxon NCMS000
axonal axonal AQ0CS0
axonals axonal AQ0CP0
axonema axonema NCMS000
axonometria axonometria NCFS000
axonomètric axonomètric AQ0MS0
axonomètrica axonomètric AQ0FS0
axonomètrics axonomètric AQ0MP0
axonometries axonometria NCFP000
axonomètriques axonomètric AQ0FP0
axonomorf axonomorf AQ0MS0
axonomorfa axonomorf AQ0FS0
axons axó NCMP000
àxons àxon NCMP000
axostil axostil NCMS000
axostils axostil NCMP000
Ayacucho Ayacucho NPCSG00
ayahuasca ayahuasca NCFS000
Ayamonte Ayamonte NPCSG00
Aylesbury Aylesbury NPCSG00
Ayr Ayr NPCSG00
ayurveda ayurveda NCFS000
Ayutthaya Ayutthaya NPCSG00
azalea azalea NCFS000
azalees azalea NCFP000
Azaña Azaña NPCNSP0
Azaries Azaries NPMPSP0
azatioprina azatioprina NCFS000
Azawad Azawad NPMSG00
Azcapotzalco Azcapotzalco NPCSG00
azeòtrop azeòtrop NCMS000
azeotròpic azeotròpic AQ0MS0
azeotròpica azeotròpic AQ0FS0
azeotròpics azeotròpic AQ0MP0
azeotròpiques azeotròpic AQ0FP0
azeòtrops azeòtrop NCMP000
azepina azepina NCFS000
azepines azepina NCFP000
Azerbaidjan Azerbaidjan NPMSG00
azerbaidjanès azerbaidjanès AQ0MS0
azerbaidjanès azerbaidjanès NCMS000
azerbaidjanés azerbaidjanès AQ0MS0
azerbaidjanés azerbaidjanès NCMS000
azerbaidjanesa azerbaidjanès AQ0FS0
azerbaidjanesa azerbaidjanès NCFS000
azerbaidjaneses azerbaidjanès AQ0FP0
azerbaidjaneses azerbaidjanès NCFP000
azerbaidjanesos azerbaidjanès AQ0MP0
azerbaidjanesos azerbaidjanès NCMP000
àzeri àzeri AQ0CS0
àzeri àzeri NCCS000
àzeris àzeri AQ0CP0
àzeris àzeri NCCP000
Azgour Azgour NPCSG00
azida azida NCFS000
azides azida NCFP000
azidotimidina azidotimidina NCFS000
àzig àzig AQ0MS0
àziga àzig AQ0FS0
azigòspora azigòspora NCFS000
azigòspores azigòspora NCFP000
àzigs àzig AQ0MP0
àzigues àzig AQ0FP0
Azilal Azilal NPCSG00
azilià azilià AQ0MS0
azilià azilià NCMS000
aziliana azilià AQ0FS0
azilianes azilià AQ0FP0
azilians azilià AQ0MP0
azilians azilià NCMP000
àzim àzim AQ0MS0
àzim àzim NCMS000
àzima àzim AQ0FS0
àzimes àzim AQ0FP0
àzims àzim AQ0MP0
àzims àzim NCMP000
azimut azimut NCMS000
azimutal azimutal AQ0CS0
azimutal azimutal NCMS000
azimutals azimutal AQ0CP0
azimutals azimutal NCMP000
azimuts azimut NCMP000
azina azina NCFS000
azines azina NCFP000
aziridina aziridina NCFS000
azitromicina azitromicina NCFS000
Azkoitia Azkoitia NPCSG00
azlocil·lina azlocil·lina NCFS000
Aznar Aznar NPCNSP0
azo azo NCMS000
azobé azobé NCMS000
azobenzè azobenzè NCMS000
azobenzé azobenzè NCMS000
azobenzens azobenzè NCMP000
azobés azobé NCMP000
azoic azoic AQ0MS0
azoica azoic AQ0FS0
azoics azoic AQ0MP0
azoiques azoic AQ0FP0
azole azole NCMS000
azoles azole NCMP000
azometina azometina NCFS000
azometines azometina NCFP000
azoospèrmia azoospèrmia NCFS000
azoospèrmies azoospèrmia NCFP000
Azorín Azorín NPCNSP0
azos azo NCMP000
azot azot NCMS000
azotada azotat AQ0FS0
azotades azotat AQ0FP0
azotat azotat AQ0MS0
azotat azotat NCMS000
azotats azotat AQ0MP0
azotats azotat NCMP000
azotèmia azotèmia NCFS000
azotèmic azotèmic AQ0MS0
azotèmica azotèmic AQ0FS0
azotèmics azotèmic AQ0MP0
azotèmies azotèmia NCFP000
azotèmiques azotèmic AQ0FP0
azòtic azòtic AQ0MS0
azòtica azòtic AQ0FS0
azòtics azòtic AQ0MP0
azotina azotina NCFS000
azotines azotina NCFP000
azòtiques azòtic AQ0FP0
azotit azotit NCMS000
azotits azotit NCMP000
azotitza azotitzar VMIP3S00
azotitza azotitzar VMM02S00
azotitzà azotitzar VMIS3S00
azotitzada azotitzar VMP00SF0
azotitzades azotitzar VMP00PF0
azotitzant azotitzar VMG00000
azotitzar azotitzar VMN00000
azotitzarà azotitzar VMIF3S00
azotitzaran azotitzar VMIF3P00
azotitzaràs azotitzar VMIF2S00
azotitzaré azotitzar VMIF1S00
azotitzarem azotitzar VMIF1P00
azotitzàrem azotitzar VMIS1P00
azotitzaren azotitzar VMIS3P00
azotitzares azotitzar VMIS2S00
azotitzareu azotitzar VMIF2P00
azotitzàreu azotitzar VMIS2P00
azotitzaria azotitzar VMCC1S00
azotitzaríem azotitzar VMCC1P00
azotitzarien azotitzar VMCC3P00
azotitzaries azotitzar VMCC2S00
azotitzaríeu azotitzar VMCC2P00
azotitzat azotitzar VMP00SM0
azotitzats azotitzar VMP00PM0
azotitzava azotitzar VMII1S00
azotitzàvem azotitzar VMII1P00
azotitzaven azotitzar VMII3P00
azotitzaves azotitzar VMII2S00
azotitzàveu azotitzar VMII2P00
azotitzem azotitzar VMIP1P00
azotitzem azotitzar VMM01P00
azotitzem azotitzar VMSP1P00
azotitzen azotitzar VMIP3P00
azotitzes azotitzar VMIP2S00
azotitzeu azotitzar VMIP2P00
azotitzeu azotitzar VMSP2P00
azotitzí azotitzar VMIS1S00
azotós azotós AQ0MS0
azotosa azotós AQ0FS0
azotoses azotós AQ0FP0
azotosos azotós AQ0MP0
azots azot NCMP000
azotur azotur NCMS000
azotúria azotúria NCFS000
azotúries azotúria NCFP000
azoturs azotur NCMP000
Azov Azov NPCSG00
azulè azulè NCMS000
azulé azulè NCMS000
azulens azulè NCMP000
Baader-Meinhof Baader-Meinhof NPCNO00
Baal Baal NPMSSP0
baba baba NCFS000
babaganuix babaganuix NCMS000
Babahoyo Babahoyo NPCSG00
babaia babaia NCCS000
babaies babaia NCCP000
babarota babarota NCFS000
babarotes babarota NCFP000
babau babau AQ0MS0
babau babau NCMS000
babaua babau AQ0FS0
babaua babau NCFS000
babaues babau AQ0FP0
babaues babau NCFP000
babaus babau AQ0MP0
babaus babau NCMP000
babeca babeca NCFS000
babel babel NCFS000
babèlic babèlic AQ0MS0
babèlica babèlic AQ0FS0
babèlics babèlic AQ0MP0
babèliques babèlic AQ0FP0
babels babel NCFP000
Babenberg Babenberg NPCNSP0
babeques babeca NCFP000
babes baba NCFP000
babesiosis babesiosi NCFP000
Babia Babia NPCSG00
Babiloni Babiloni NPCNSP0
babiloni babiloni AQ0MS0
babiloni babiloni NCMS000
Babilònia Babilònia NPFSG00
babilònia babiloni AQ0FS0
babilònia babiloni NCFS000
babilònic babilònic AQ0MS0
babilònica babilònic AQ0FS0
babilònics babilònic AQ0MP0
babilònies babiloni AQ0FP0
babilònies babiloni NCFP000
babilòniques babilònic AQ0FP0
babilonis babiloni AQ0MP0
babilonis babiloni NCMP000
babingtonita babingtonita NCFS000
Babinski Babinski NPCNSP0
babirussa babirussa NCFS000
babirusses babirussa NCFP000
babisme babisme NCMS000
bable bable AQ0CS0
bable bable NCMS000
bables bable AQ0CP0
bables bable NCMP000
baboia baboia NCCS000
baboiada baboiada NCFS000
baboiades baboiada NCFP000
baboies baboia NCCP000
babol babol NCMS000
bàbol bàbol NCMS000
babols babol NCMP000
babols babols NCMP000
bàbols bàbol NCMP000
babord babord NCMS000
babords babord NCMP000
Babot Babot NPCNSP0
babovisme babovisme NCMS000
babovismes babovisme NCMP000
Babra Babra NPCNSP0
babuí babuí NCMS000
babuïns babuí NCMP000
babutxa babutxa NCFS000
babutxes babutxa NCFP000
Babuyan Babuyan NPFPG00
baby-boom baby-boom NCMS000
baby-sitter baby-sitter NCCS000
baby-sitters baby-sitter NCCP000
Bac Bac NPCNSP0
bac bac NCMS000
baca baca NCFS000
bacada bacada NCFS000
bacades bacada NCFP000
bacallà bacallà NCMS000
bacallaner bacallaner AQ0MS0
bacallaner bacallaner NCMS000
bacallanera bacallaner AQ0FS0
bacallanera bacallaner NCFS000
bacallaneres bacallaner AQ0FP0
bacallaneres bacallaner NCFP000
bacallaneria bacallaneria NCFS000
bacallaneries bacallaneria NCFP000
bacallaners bacallaner AQ0MP0
bacallaners bacallaner NCMP000
bacallans bacallà NCMP000
bacallar bacallar NCMS000
bacallars bacallar NCMP000
bacanal bacanal AQ0CS0
bacanal bacanal NCFS000
bacanals bacanal AQ0CP0
bacanals bacanal NCFP000
bacanard bacanard AQ0MS0
bacanarda bacanard AQ0FS0
bacanardes bacanard AQ0FP0
bacanards bacanard AQ0MP0
bacant bacant NCFS000
bacants bacant NCFP000
bacarà bacarà NCMS000
bacaràs bacarà NCMP000
Bacardí Bacardí NPCNSP0
Baccarat Baccarat NPCSG00
baccarat baccarat NCMS000
baccífer baccífer AQ0MS0
baccífera baccífer AQ0FS0
baccíferes baccífer AQ0FP0
baccífers baccífer AQ0MP0
bacciforme bacciforme AQ0CS0
bacciformes bacciforme AQ0CP0
baccívor baccívor AQ0MS0
baccívora baccívor AQ0FS0
baccívores baccívor AQ0FP0
baccívors baccívor AQ0MP0
Baccus Baccus NPMPSP0
Bach Bach NPCNSP0
bací bací NCMS000
bacil bacil NCMS000
bacils bacil NCMP000
bacil·làcia bacil·làcia NCFS000
bacil·làcies bacil·làcia NCFP000
bacil·lar bacil·lar AQ0CS0
bacil·lariofícia bacil·lariofícia NCFS000
bacil·lariofícies bacil·lariofícia NCFP000
bacil·lars bacil·lar AQ0CP0
bacil·lèmia bacil·lèmia NCFS000
bacil·lèmies bacil·lèmia NCFP000
bacil·liforme bacil·liforme AQ0CS0
bacil·liformes bacil·liforme AQ0CP0
bacil·losi bacil·losi NCFS000
bacil·losis bacil·losi NCFP000
bacina bacina NCFS000
bacinada bacinada NCFS000
bacinades bacinada NCFP000
baciner baciner NCMS000
bacinera baciner NCFS000
bacineres baciner NCFP000
baciners baciner NCMP000
bacines bacina NCFP000
bacinet bacinet NCMS000
bacineta bacineta NCFS000
bacinets bacinet NCMP000
bacins bací NCMP000
baciu baciu AQ0MS0
bacius baciu AQ0MP0
baciva baciu AQ0FS0
baciva baciva NCFS000
baciva bacivar VMIP3S00
baciva bacivar VMM02S00
bacivà bacivar VMIS3S00
bacivada bacivada NCFS000
bacivada bacivar VMP00SF0
bacivades bacivada NCFP000
bacivades bacivar VMP00PF0
bacivant bacivar VMG00000
bacivar bacivar VMN00000
bacivarà bacivar VMIF3S00
bacivaran bacivar VMIF3P00
bacivaràs bacivar VMIF2S00
bacivaré bacivar VMIF1S00
bacivarem bacivar VMIF1P00
bacivàrem bacivar VMIS1P00
bacivaren bacivar VMIS3P00
bacivares bacivar VMIS2S00
bacivareu bacivar VMIF2P00
bacivàreu bacivar VMIS2P00
bacivaria bacivar VMCC1S00
bacivaríem bacivar VMCC1P00
bacivarien bacivar VMCC3P00
bacivaries bacivar VMCC2S00
bacivaríeu bacivar VMCC2P00
bacivat bacivar VMP00SM0
bacivats bacivar VMP00PM0
bacivava bacivar VMII1S00
bacivàvem bacivar VMII1P00
bacivaven bacivar VMII3P00
bacivaves bacivar VMII2S00
bacivàveu bacivar VMII2P00
bacivem bacivar VMIP1P00
bacivem bacivar VMM01P00
bacivem bacivar VMSP1P00
baciven bacivar VMIP3P00
baciver baciver NCMS000
bacivera baciver NCFS000
baciveres baciver NCFP000
bacivers baciver NCMP000
bacives baciu AQ0FP0
bacives baciva NCFP000
bacives bacivar VMIP2S00
baciveu bacivar VMIP2P00
baciveu bacivar VMSP2P00
baciví bacivar VMIS1S00
backgammon backgammon NCMS000
baclaua baclaua NCMS000
bacó bacó NCMS000
Bacoli Bacoli NPCSG00
Bacolod Bacolod NPCSG00
bacona bacó NCFS000
baconada baconada NCFS000
baconades baconada NCFP000
baconera baconera NCFS000
baconeres baconera NCFP000
bacones bacó NCFP000
baconiana baconià AQ0FS0
bacons bacó NCMP000
bacora bacora NCFS000
bacores bacora NCFP000
bacoreta bacoreta NCFS000
bacoretes bacoreta NCFP000
bacs bac NCMP000
bacteri bacteri NCMS000
bacterià bacterià AQ0MS0
bacterial bacterial AQ0CS0
bacterials bacterial AQ0CP0
bacteriana bacterià AQ0FS0
bacterianes bacterià AQ0FP0
bacterians bacterià AQ0MP0
bactericida bactericida AQ0CS0
bactericida bactericida NCMS000
bactericides bactericida AQ0CP0
bactericides bactericida NCMP000
bacterièmia bacterièmia NCFS000
bacterièmies bacterièmia NCFP000
bacteriocecidi bacteriocecidi NCMS000
bacteriocecidis bacteriocecidi NCMP000
bacteriocina bacteriocina NCFS000
bacterioclorofil·la bacterioclorofil·la NCFS000
bacterioclorofil·les bacterioclorofil·la NCFP000
bacteriòfag bacteriòfag NCMS000
bacteriòfags bacteriòfag NCMP000
bacteriòleg bacteriòleg NCMS000
bacteriòlegs bacteriòleg NCMP000
bacteriòlisi bacteriòlisi NCFS000
bacteriòlisis bacteriòlisi NCFP000
bacteriolític bacteriolític AQ0MS0
bacteriolítica bacteriolític AQ0FS0
bacteriolítics bacteriolític AQ0MP0
bacteriolítiques bacteriolític AQ0FP0
bacteriòloga bacteriòleg NCFS000
bacteriologia bacteriologia NCFS000
bacteriològic bacteriològic AQ0MS0
bacteriològica bacteriològic AQ0FS0
bacteriològics bacteriològic AQ0MP0
bacteriologies bacteriologia NCFP000
bacteriològiques bacteriològic AQ0FP0
bacteriòlogues bacteriòleg NCFP000
bacterioscòpia bacterioscòpia NCFS000
bacterioscòpic bacterioscòpic AQ0MS0
bacterioscòpica bacterioscòpic AQ0FS0
bacterioscòpics bacterioscòpic AQ0MP0
bacterioscòpies bacterioscòpia NCFP000
bacterioscòpiques bacterioscòpic AQ0FP0
bacteriosi bacteriosi NCFS000
bacteriosis bacteriosi NCFP000
bacteriòstasi bacteriòstasi NCFS000
bacteriòstasis bacteriòstasi NCFP000
bacteriostàtic bacteriostàtic AQ0MS0
bacteriostàtic bacteriostàtic NCMS000
bacteriostàtica bacteriostàtic AQ0FS0
bacteriostàtics bacteriostàtic AQ0MP0
bacteriostàtics bacteriostàtic NCMP000
bacteriostàtiques bacteriostàtic AQ0FP0
bacterioteràpia bacterioteràpia NCFS000
bacterioteràpies bacterioteràpia NCFP000
bacteriotoxina bacteriotoxina NCFS000
bacteriotoxines bacteriotoxina NCFP000
bacteris bacteri NCMP000
bacteriúria bacteriúria NCFS000
bacteroide bacteroide AQ0CS0
bacteroide bacteroide NCMS000
bacteroides bacteroide AQ0CP0
bacteroides bacteroide NCMP000
Bactres Bactres NPCSG00
bactrià bactrià AQ0MS0
bactrià bactrià NCMS000
Bactriana Bactriana NPCSG00
bactriana bactrià AQ0FS0
bactriana bactrià NCFS000
bactrians bactrià AQ0MP0
bactrians bactrià NCMP000
bàcul bàcul NCMS000
baculiforme baculiforme AQ0CS0
baculiformes baculiforme AQ0CP0
baculimetria baculimetria NCFS000
baculimetries baculimetria NCFP000
baculovirus baculovirus NCMN000
bàculs bàcul NCMP000
Bacus Bacus NPMPSP0
Bada Bada NPCNSP0
bada bada NCCS000
bada badar VMIP3S00
bada badar VMM02S00
badà badar VMIS3S00
badabadoc badabadoc NCMS000
badabadocs badabadoc NCMP000
badada badada NCFS000
badada badar VMP00SF0
badades badada NCFP000
badades badar VMP00PF0
badadís badadís AQ0MS0
badadissa badadís AQ0FS0
badadisses badadís AQ0FP0
badadissos badadís AQ0MP0
badador badador NCMS000
badadors badador NCMP000
badadura badadura NCFS000
badadures badadura NCFP000
badaina badaina NCFS000
badaine badaine NCMS000
badaines badaina NCFP000
badaines badaine NCMP000
badaire badaire NCCS000
badaires badaire NCCP000
Badajoz Badajoz NPCSG00
Badakhshan Badakhshan NPCSG00
badall badall NCMS000
badalla badallar VMIP3S00
badalla badallar VMM02S00
badallà badallar VMIS3S00
badallada badallar VMP00SF0
badallades badallar VMP00PF0
badallaire badallaire NCCS000
badallaires badallaire NCCP000
badallant badallar VMG00000
badallar badallar VMN00000
badallarà badallar VMIF3S00
badallaran badallar VMIF3P00
badallaràs badallar VMIF2S00
badallaré badallar VMIF1S00
badallarem badallar VMIF1P00
badallàrem badallar VMIS1P00
badallaren badallar VMIS3P00
badallares badallar VMIS2S00
badallareu badallar VMIF2P00
badallàreu badallar VMIS2P00
badallaria badallar VMCC1S00
badallaríem badallar VMCC1P00
badallarien badallar VMCC3P00
badallaries badallar VMCC2S00
badallaríeu badallar VMCC2P00
badallat badallar VMP00SM0
badallats badallar VMP00PM0
badallava badallar VMII1S00
badallàvem badallar VMII1P00
badallaven badallar VMII3P00
badallaves badallar VMII2S00
badallàveu badallar VMII2P00
badallem badallar VMIP1P00
badallem badallar VMM01P00
badallem badallar VMSP1P00
badallen badallar VMIP3P00
badallera badallera NCFS000
badalleres badallera NCFP000
badalles badallar VMIP2S00
badalleu badallar VMIP2P00
badalleu badallar VMSP2P00
badallí badallar VMIS1S00
badalls badall NCMP000
Badaló Badaló NPCNSP0
badaloc badaloc NCMS000
badalocs badaloc NCMP000
Badalona Badalona NPFSG00
badaloní badaloní AQ0MS0
badaloní badaloní NCMS000
badalonina badalonina NCFS000
badalonina badaloní AQ0FS0
badalonines badalonina NCFP000
badalonines badaloní AQ0FP0
badalonins badaloní AQ0MP0
badalonins badaloní NCMP000
badalot badalot NCMS000
badalots badalot NCMP000
badaluc badaluc NCMS000
badalucs badaluc NCMP000
badana badana NCFS000
badanes badana NCFP000
badant badar VMG00000
badar badar VMN00000
badarà badar VMIF3S00
badaran badar VMIF3P00
badaràs badar VMIF2S00
badaré badar VMIF1S00
badarem badar VMIF1P00
badàrem badar VMIS1P00
badaren badar VMIS3P00
badares badar VMIS2S00
badareu badar VMIF2P00
badàreu badar VMIS2P00
badaria badar VMCC1S00
badarià badarià AQ0MS0
badarià badarià NCMS000
badariana badarià AQ0FS0
badarianes badarià AQ0FP0
badarians badarià AQ0MP0
badarians badarià NCMP000
badaríem badar VMCC1P00
badarien badar VMCC3P00
badaries badar VMCC2S00
badaríeu badar VMCC2P00
badat badar VMP00SM0
badats badar VMP00PM0
badava badar VMII1S00
badàvem badar VMII1P00
badaven badar VMII3P00
badaves badar VMII2S00
badàveu badar VMII2P00
baddeleyita baddeleyita NCFS000
baddeleyites baddeleyita NCFP000
badem badar VMIP1P00
badem badar VMM01P00
badem badar VMSP1P00
Baden Baden NPCNSP0
baden badar VMIP3P00
Baden-Baden Baden-Baden NPCNSP0
Baden-Württemberg Baden-Württemberg NPCNSP0
baderna baderna NCFS000
badernes baderna NCFP000
bades bada NCCP000
bades badar VMIP2S00
badès badès AQ0MS0
badès badès NCMS000
badés badès AQ0MS0
badés badès NCMS000
badesa badès AQ0FS0
badesa badès NCFS000
badeses badès AQ0FP0
badeses badès NCFP000
badesos badès AQ0MP0
badesos badès NCMP000
badeu badar VMIP2P00
badeu badar VMSP2P00
badge badge NCMS000
badges badge NCMP000
badí badar VMIS1S00
Badia Badia NPCNSP0
badia badia NCFS000
badiana badiana NCFS000
badianes badiana NCFP000
badiella badiella NCFS000
badielles badiella NCFP000
badienc badienc AQ0MS0
badienc badienc NCMS000
badienca badienc AQ0FS0
badienca badienc NCFS000
badies badia NCFP000
badiguer badiguer NCMS000
badiguers badiguer NCMP000
badina badina NCFS000
badines badina NCFP000
badiu badiu NCMS000
badius badiu NCMP000
badívol badívol AQ0MS0
badívola badívol AQ0FS0
badívoles badívol AQ0FP0
badívols badívol AQ0MP0
badland badland NCMS000
badlands badland NCMP000
badlands badlands NCFP000
bàdminton bàdminton NCMS000
bàdmintons bàdminton NCMP000
Badoc Badoc NPCNSP0
badoc badoc AQ0MS0
badoc badoc NCMS000
badoca badoc AQ0FS0
badoca badoc NCFS000
badoca badocar VMIP3S00
badoca badocar VMM02S00
badocà badocar VMIS3S00
badocada badocar VMP00SF0
badocades badocar VMP00PF0
badocant badocar VMG00000
badocar badocar VMN00000
badocarà badocar VMIF3S00
badocaran badocar VMIF3P00
badocaràs badocar VMIF2S00
badocaré badocar VMIF1S00
badocarem badocar VMIF1P00
badocàrem badocar VMIS1P00
badocaren badocar VMIS3P00
badocares badocar VMIS2S00
badocareu badocar VMIF2P00
badocàreu badocar VMIS2P00
badocaria badocar VMCC1S00
badocaríem badocar VMCC1P00
badocarien badocar VMCC3P00
badocaries badocar VMCC2S00
badocaríeu badocar VMCC2P00
badocat badocar VMP00SM0
badocats badocar VMP00PM0
badocava badocar VMII1S00
badocàvem badocar VMII1P00
badocaven badocar VMII3P00
badocaves badocar VMII2S00
badocàveu badocar VMII2P00
badocs badoc AQ0MP0
badocs badoc NCMP000
badola badola NCFS000
badoles badola NCFP000
badomeries badomeria NCFP000
badomia badomia NCFS000
badomies badomia NCFP000
badoquegem badoquejar VMIP1P00
badoquegem badoquejar VMM01P00
badoquegem badoquejar VMSP1P00
badoquegen badoquejar VMIP3P00
badoqueges badoquejar VMIP2S00
badoquegeu badoquejar VMIP2P00
badoquegeu badoquejar VMSP2P00
badoquegí badoquejar VMIS1S00
badoqueja badoquejar VMIP3S00
badoqueja badoquejar VMM02S00
badoquejà badoquejar VMIS3S00
badoquejada badoquejar VMP00SF0
badoquejades badoquejar VMP00PF0
badoquejant badoquejar VMG00000
badoquejar badoquejar VMN00000
badoquejarà badoquejar VMIF3S00
badoquejaran badoquejar VMIF3P00
badoquejaràs badoquejar VMIF2S00
badoquejaré badoquejar VMIF1S00
badoquejarem badoquejar VMIF1P00
badoquejàrem badoquejar VMIS1P00
badoquejaren badoquejar VMIS3P00
badoquejares badoquejar VMIS2S00
badoquejareu badoquejar VMIF2P00
badoquejàreu badoquejar VMIS2P00
badoquejaria badoquejar VMCC1S00
badoquejaríem badoquejar VMCC1P00
badoquejarien badoquejar VMCC3P00
badoquejaries badoquejar VMCC2S00
badoquejaríeu badoquejar VMCC2P00
badoquejat badoquejar VMP00SM0
badoquejats badoquejar VMP00PM0
badoquejava badoquejar VMII1S00
badoquejàvem badoquejar VMII1P00
badoquejaven badoquejar VMII3P00
badoquejaves badoquejar VMII2S00
badoquejàveu badoquejar VMII2P00
badoquem badocar VMIP1P00
badoquem badocar VMM01P00
badoquem badocar VMSP1P00
badoquen badocar VMIP3P00
badoquera badoquera NCFS000
badoqueres badoquera NCFP000
badoqueria badoqueria NCFS000
badoqueries badoqueria NCFP000
badoques badoc AQ0FP0
badoques badoc NCFP000
badoques badocar VMIP2S00
badoqueu badocar VMIP2P00
badoqueu badocar VMSP2P00
badoquí badocar VMIS1S00
Badós Badós NPCNSP0
Baduell Baduell NPCNSP0
Baecula Baecula NPCSG00
Baell Baell NPCNSP0
Baells Baells NPFSG00
Baén Baén NPCSG00
Baena Baena NPCNSP0
baf baf NCMS000
bafada bafada NCFS000
bafades bafada NCFP000
bafanegem bafanejar VMIP1P00
bafanegem bafanejar VMM01P00
bafanegem bafanejar VMSP1P00
